,0
eliminated_by_Lasso,37 51 77 78 79 95 107 138 140 146 167 178 204 208 212 223 227 237 241 248 257 270 282 322 332 338 345 349 352 383 388 423 437
eliminated_by_lm,14 29 30 108 134 139 150 271 305 307 353 368 436 439 455
