,0
eliminated_by_Lasso,37 51 77 78 79 95 107 138 140 146 167 178 204 208 212 223 227 237 241 248 257 270 282 322 332 338 345 349 352 383 388 423 437
eliminated_by_lm,13 28 29 107 133 138 149 270 304 306 322 352 367 435 438 450 454 487
